issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
0167-6377,Operations Research Letters,"OR,MS,POM",,2,2,A,B,2,S,2.1,B,B,
0167-6687,Insurance: Mathematics and Economics,"MIS, KM",,3,2,B,B,3,,3.4,B,A*,3
0167-7187,International Journal of Industrial Organization,"OS/OB,HRM/IR",,1,2,A,B,3,P,2.5,B,A*,
0167-8116,International Journal of Research in Marketing,Marketing,,2,2,A,A,4,P*,11.8,A,A*,1
0167-9236,Decision Support Systems,"MIS, KM",,2,2,A,A,3,P,14.7,B,A*,2
0168-8510,Health Policy,Economics,,2,2,A,B,2,,6.4,B,A,2
0169-023X,Data and Knowledge Engineering,"MIS, KM",,,2,,,,,5.0,B,,
0169-2070,International Journal of Forecasting,Economics,,2,2,A,B,3,EP,17.1,B,A,3
0169-5150,Agricultural Economics,Economics,,2,1,A,,2,EP,N/A,,A,
0170-8406,Organization Studies,"OS/OB,HRM/IR",1,1,2,A,A,4,P*,11.5,A,A*,1
0171-6468,OR Spectrum,"OR,MS,POM",,3,1,B,B,3,S,4.9,A,B,
0176-1714,Social Choice and Welfare,Sociology,,1,1,A,,3,,1.6,,A,
0176-2680,European Journal of Political Economy,Economics,,2,1,A,,2,,3.4,,A,
0190-0692,International Journal of Public Administration,PSM,,3,1,B,,2,,4.7,B,B,3
0190-292X,Policy Studies Journal,PSM,,,2,,,3,EP*,11.6,,B,
0191-2615,Transportation Research Part B: Methodological,"OR,MS,POM",,2,2,A,,,EP*,12.4,A,A*,1
0191-3085,Research in Organizational Behavior,"OS/OB,HRM/IR",,2,1,A,B,3,,1.6,B,A,2
0191-8869,Personality and Individual Differences,Psychology,,,2,,,3,,8.5,B,A,
0195-3613,Journal of Labor Research,"OS/OB,HRM/IR",,4,1,C,,2,,1.5,,B,4
0195-6574,Energy Journal,Economics,,1,1,A,,3,,5.1,,A,2
0197-2243,Information Society,"MIS, KM",,,2,,B,3,,5.0,,A,3
0198-9073,Journal of the American Taxation Association,F&A,,,,,,3,,3.2,B,A,
0217-4561,Asia Pacific Journal of Management,IB,,4,2,B,B,3,S,9.7,B,A,3
0219-0249,International Journal of Theoretical and Applied Finance,F&A,,3,1,B,,2,,1.1,,B,4
0254-5330,Annals of Operations Research,"OR,MS,POM",,2,1,A,B,3,S,7.9,B,A,2
0257-0130,Queueing Systems,"OR,MS,POM",,,1,,,2,,2.3,,,
0257-3032,World Bank Research Observer,Economics,,,1,,,2,EP,12.6,,B,
0258-6770,World Bank Economic Review,Economics,,1,1,A,,3,,5.1,,A,3
0261-5177,Tourism Management,Tourism,,2,2,A,,4,EP*,24.1,B,A*,1
0261-5606,Journal of International Money and Finance,F&A,,2,2,A,B,3,P,4.2,B,A,2
0262-1711,Journal of Management Development,"OS/OB,HRM/IR",,4,1,C,,1,,7.0,,C,4
0263-2373,European Management Journal,Gen & Strat,,3,1,B,B,2,S,12.9,B,A,3
0263-2764,"Theory, Culture and Society",Gen & Strat,,,2,,B,3,EP*,4.2,,,3
0263-4503,Marketing Intelligence and Planning,Marketing,,,1,,,1,,8.0,,A,
0263-5577,Industrial Management and Data Systems,"OR,MS,POM",,3,1,B,B,2,,9.6,C,A,3
0263-774X,Environment and Planning C: Government and Policy,PSM,,,2,,,3,,N/A,,B,
0263-7758,Environment and Planning D: Society and Space,PSM,,,2,,B,4,EP,7.7,,A,4
0263-7863,International Journal of Project Management,"OR,MS,POM",,2,2,A,B,2,EP,12.3,B,A*,2
0264-2069,Service Industries Journal,"OR,MS,POM",,,1,,B,2,S,19.0,C,B,3
0264-9993,Economic Modelling,Economics,,2,1,A,,2,EP,8.0,,A,3
0265-0487,International Journal of Advertising,Marketing [Range highest to,,3,2,B,B,2,EP,13.9,C,A,3
0265-1335,International Marketing Review,Marketing,,3,1,A,,3,S,8.7,B,A,2
0265-2323,International Journal of Bank Marketing,Marketing,,4,1,C,,1,,10.7,D,A,4
0265-671X,"International Journal of Quality and Reliability Managemen OR,MS,POM",,,3,1,B,,2,,5.6,,B,4
0265-8135,Environment and Planning B: Planning and Design,PSM,,,2,,,,,N/A,,A*,
0266-2426,International Small Business Journal,Entrep,,2,2,A,B,3,S,12.6,B,A,2
0266-2671,Economics and Philosophy,Economics,,2,1,A,,2,,1.8,,A,
0266-4658,Economic Policy,Economics,,2,1,A,,3,EP,4.8,,A,
0266-4666,Econometric Theory,Economics,,1,2,A,,4,,1.9,,A*,
0266-903X,Oxford Review of Economic Policy,Economics,,3,1,B,,2,EP,12.5,,A,
0267-257X,Journal of Marketing Management,Marketing,,3,1,B,B,2,,8.0,C,A,3
0267-4424,Financial Accountability and Management,F&A,,3,2,B,B,3,,4.9,C,A,4
0267-5730,International Journal of Technology Management,Innovation,,3,2,B,,2,,2.7,C,B,3
0267-8373,Work and Stress,"OS/OB,HRM/IR",,3,2,B,B,4,EP,11.7,B,A,3
0268-0939,Journal of Education Policy,Education,,,2,,,2,EP,8.1,,,
0268-1072,"New Technology, Work and Employment","OS/OB,HRM/IR",,,1,,B,3,S,10.5,B,A,2
0268-3946,Journal of Managerial Psychology,"OS/OB,HRM/IR",,4,1,B,,3,,5.5,B,B,3
0268-3962,Journal of Information Technology,"MIS, KM",,2,2,A,A,4,P*,10.0,A,A*,1
0268-4012,International Journal of Information Management,"MIS, KM",,3,2,A,B,2,S,53.1,B,A,2
0268-6902,Managerial Auditing Journal,F&A,,4,1,B,,2,,5.4,B,A,3
0269-0942,Local Economy,PSM,,,1,C,,2,,3.2,,C,4
0269-2171,International Review of Applied Economics,Economics,,4,1,C,,1,,4.3,,B,
0269-994X,Applied Psychology,Psychology,,3,1,B,B,3,S,13.7,B,A,2
0270-2592,Journal of Financial Research,F&A,,3,1,B,B,3,S,1.7,B,A,3
